"source_line","risk","gate","route","size","impact","context","title"
"264","1","none","auto","S","8","db-tasks-agents-misc","Prune repo_scans.dossier_json after the reuse window"
"265","1","none","auto","S","8","db-tasks-agents-misc","Blank agent_activity.raw_json after a stated retention window"
"278","1","none","auto","S","8","table-components","Replace ColumnHead native title= with Tooltip"
"280","1","none","auto","S","8","table-components","Add an optional sticky prop on ColumnHead"
"282","1","none","auto","S","8","ui-recipes-and-layout","Add PANEL_ACCENT claimed shipped but missing from recipes.ts"
"284","1","none","auto","S","8","ui-recipes-and-layout","Add the TAB_HEADER recipe the visual-uplift plan still names"
"287","1","none","auto","S","8","casesim-evaluator","Require verifier and delegator personas before a discrimination PASS"
"328","1","none","auto","S","8","tests-devcase","Pin iterationPattern iterative vs single-pass from edit cadence"
"329","1","none","auto","S","8","tests-devcase","Pin sourcing ranks office-family candidates, not only software"
"331","1","none","auto","S","8","autonomy-control-room","Deep-link each pending Art. 22 gate to the assignment review panel"
"336","1","none","auto","S","8","control-room-action-guard","Value-key pending-gate confirms so a polled replacement cannot sneak through"
"340","1","none","auto","S","8","decisions-screen-wave-logic","Pin bulk and ledger reject as reason-required, like group-eval"
"347","1","none","auto","S","8","offer-response-page","Pass offer.timeZone into formatOfferDeadline on the card"
"348","1","none","auto","S","8","offer-response-page","Show minutes remaining in the final hour of an offer"
"357","1","none","auto","S","8","pipeline-actions-events","Restore a score-ring and waiting-dot key on the subway"
"358","1","none","auto","S","8","pipeline-api","Answer POST /api/pipeline 400s with REFUSAL_ERRORS codes"
"359","1","none","auto","S","8","pipeline-api","Code consent and timeline 404s"
"362","1","none","auto","S","8","pipeline-api","Code GET /api/pipeline/events invalid-since 400"
"365","1","none","auto","S","8","pipeline-board-ui","Make interview and active stat chips filter the board"
"366","1","none","auto","S","8","pipeline-board-ui","Show the bounced-move reason on the bead"
"367","1","none","auto","S","8","pipeline-board-ui","Focus pipeline search with a / shortcut"
"368","1","none","auto","S","8","pipeline-candidate-drawer","Localize score-dimension labels via labelCode"
"369","1","none","auto","S","8","pipeline-candidate-drawer","Render market-band source and vintage on the hint"
"370","1","none","auto","S","8","pipeline-candidate-drawer","Band the salary hint by the job's seniority"
"372","1","none","auto","S","8","pipeline-candidate-drawer","Add Open profile to the degraded-intake banner"
"378","1","none","auto","S","8","pipeline-scheduler-sla","Open the candidate from an activity-feed row"
"379","1","none","auto","S","8","pipeline-scheduler-sla","Format invite slots with useFormatter"
"381","1","none","auto","S","8","pipeline-scheduler-sla","Deep-link degraded intake to the profile editor"
"382","1","none","auto","S","8","pipeline-scheduler-sla","Filter the activity feed by event kind"
"383","1","none","auto","S","8","task-automation-engine","Show scoringDeferred in the pass-preview modal"
"395","1","none","auto","S","8","interview-scheduling-api","Put canReschedule on the first-confirm POST response"
"396","1","none","auto","S","8","interview-scheduling-api","Put interviewTz on the public schedule token GET"
"401","1","none","auto","S","8","schedule-calendar-invites","Surface a Connect calendar CTA on the Schedule tab when disconnected"
"482","1","none","auto","S","8","tests-interview-jobs","Pin yearly-to-monthly restatement in test_jobs.py"
"483","1","none","auto","S","8","tests-interview-jobs","Pin campaign pack defaultedFields in test_campaign.py"
"484","1","none","auto","S","8","tests-interview-jobs","Pin interview-kit behavioral and technical buckets in test_interview.py"
"485","1","none","auto","S","8","tests-interview-jobs","Pin keyword coverage against structured Job.requirements in test_ats.py"
"493","1","none","auto","S","8","organization-and-branding","Flush the debounced org-name write on tab unmount"
"496","1","none","auto","S","8","organization-and-branding","Localize the backup confirm word instead of English REPLACE"
"503","1","none","auto","S","8","dev-inspector","Add inject-source-loc.cjs unit tests for host-only stamping"
"505","1","none","auto","S","8","dev-toolchain","Add source-loc-loader.cjs fixtures for the DEV_INSPECT hard gate"
"508","1","none","auto","S","8","dev-toolchain","Reject Python interpreters older than 3.11 in schemas-gen"
"510","1","none","auto","S","8","hiring-pipeline-config","Paint occupancy counts on the impact Overview mini-board"
"513","1","none","auto","S","8","hiring-pipeline-config","Offer custom top-N matching the 1â€“50 validator"
"517","1","none","auto","S","8","integrations-settings","Confirm Calendar disconnect before revoking the Google grant"
"518","1","none","auto","S","8","integrations-settings","Show Personas pairing countdown from the stored deadline"
"527","1","none","auto","S","8","platform-admin-ops","Export publicOriginHealth() so a missing APP_BASE_URL is a named degraded reason"
"528","1","none","auto","S","8","platform-admin-ops","Count afterResponse failures instead of console.error only"
"531","1","none","auto","S","8","platform-auth-api","Answer login 401s with a refusal code instead of an English sentence"
"551","1","none","auto","S","8","workspace-config-api","Stop forwarding profile_cli stderr on POST/PUT /api/profile"
"552","1","none","auto","S","8","workspace-config-api","Code GET/DELETE /api/tasks/[id] instead of English 'task not found'"
"553","1","none","auto","S","8","workspace-config-api","Return a refusal code for unknown template placeholders instead of English"
"557","1","none","auto","S","8","workspace-member-admin","Show pending-invite expiry on the team roster"
"564","1","none","auto","S","8","group-eval-shared","Report dropped arm ids so the handoff can toast"
"568","1","none","auto","S","8","jd-template-engine","Collapse empty list sections like empty about"
"571","1","none","auto","S","8","match-score-shared-types","Localize formatBandCompact's k-unit"
"573","1","none","auto","S","8","match-score-shared-types","Add a shared eligibility-flag summarizer"
"574","1","none","auto","S","8","match-score-shared-types","Zip driverCodes and drivers only when lengths match"
"575","1","none","auto","S","8","member-ui-helpers","Count members by status, not only active"
"576","1","none","auto","S","8","member-ui-helpers","Derive CAPABILITY_ORDER from OVERRIDABLE_CAPABILITIES"
"578","1","none","auto","S","8","member-ui-helpers","Add role descriptions for the invite dropdown"
"579","1","none","auto","S","8","member-ui-helpers","Fail-closed statusBadge on an unknown status"
"580","1","none","auto","S","8","pipeline-entry-types","Drop English STAGE_HELP fallbacks"
"583","1","none","auto","S","8","pipeline-entry-types","Remove unused English ARCHETYPE_STYLE.label"
"586","1","none","auto","S","8","puml-diagram","Localize the 1:1 zoom control"
"587","1","none","auto","S","8","puml-diagram","Export the expanded diagram as SVG"
"588","1","none","auto","S","8","puml-diagram","Announce diagram loading to assistive tech"
"589","1","none","auto","S","8","puml-diagram","Zoom the expanded diagram from the keyboard"
"594","1","none","auto","S","8","shared-api-utilities","Type cache-key lang as Locale"
"608","1","none","auto","S","8","voice-interview-api","Code remaining English refusals on compare and simulate/attach"
"611","1","none","auto","S","8","voice-interview-api","Add sessions routes to error-hygiene and catch GET /sessions"
"614","1","none","auto","S","8","voice-interview-components","Show remaining vs booked time on the live-call clock"
"623","1","none","auto","S","8","voice-provider-io","Give TTS and STT ledger prices the same env-override as voice minutes"
"636","1","none","auto","S","8","setup-studio","Localize AppearanceToggle theme names"
"641","1","none","auto","S","8","shell-companion","Badge CompanionRest with the open-proposal count"
"644","1","none","auto","S","8","shell-companion-voice","Mount VoiceNav timeline dots on history.goTo"
"648","1","none","auto","S","8","shell-companion-voice","Surface blocked auto-speak on the ticker, not only Play"
"651","1","none","auto","S","8","shell-nav","Prefill feedback with the current tab's visible name"
"654","1","none","auto","S","8","shell-palette-preview","Clear previewCache on live-refresh"
"655","1","none","auto","S","8","shell-palette-preview","Preview About as the six chapter claims with hash links"
"656","1","none","auto","S","8","shell-palette-preview","Retry a failed palette preview fetch from the pane"
"658","1","none","auto","S","8","shell-palette-preview","Announce palette preview content when the highlight moves"
"661","1","none","auto","S","8","shell-setup-pipeline","Confirm which columns a preset will remove"
"662","1","none","auto","S","8","shell-setup-pipeline","Show occupancy on the read-only journey view"
"664","1","none","auto","S","8","shell-setup-wizard","Preview the company-step logo URL"
"666","1","none","auto","S","8","shell-setup-wizard","Announce restored setup drafts in a live region"
"671","1","none","auto","S","8","shell-simulation-dock","Show the ops-orb caption without hover on touch devices"
"677","1","none","auto","S","8","shell-simulation-engine","Copy the run log as a shareable demo transcript"
"680","1","none","auto","S","8","shell-tasks","Offer every registered task kind in the kind filter, not just this window"
"681","1","none","auto","S","8","shell-tasks","Mirror running-task progress onto document.title"
"682","1","none","auto","S","8","shell-tasks","Link TaskFlightNote to the tasks tab instead of only naming it"
"684","1","none","auto","S","8","spark-about-illustrations","Add a copy-link control on each /about step using aboutStepId"
"687","1","none","auto","S","8","spark-about-illustrations","Turn HiredArt's slam-seal into a still-safe stamp the visitor can replay"
"688","1","none","auto","S","8","spark-feature-showcase","Migrate FeatureSpotlight off framer useReducedMotion"
"690","1","none","auto","S","8","spark-feature-showcase","Add a VoiceTeaser CTA that pins the voice spotlight"
"691","1","none","auto","S","8","spark-feature-showcase","Put compact lang switch and Market on the About topbar"
"692","1","none","auto","S","8","spark-feature-showcase","Gate PricingSection whileInView motion on useStillMotion"
"693","1","none","auto","S","8","spark-landing-shell","Migrate SectionRail off framer useReducedMotion"
"695","1","none","auto","S","8","spark-landing-shell","Drop demo=unavailable from the URL when the notice is dismissed"
"696","1","none","auto","S","8","spark-landing-shell","Put a Sign-up CTA on DemoUnavailableNotice when signup is open"
"699","1","none","auto","S","8","spark-trust-market","Put compact lang switch in the Market Pulse topbar and phone menu"
"700","1","none","auto","S","8","spark-trust-market","Deep-link the map to ?region= and ?metric="
"702","1","none","auto","S","8","workspace-command-palette","Drive tour and intake query aliases from catalogs, not a CS literal"
"704","1","none","auto","S","8","workspace-command-palette","Document sim presenter keys in the ? overlay"
"705","1","none","auto","S","8","workspace-command-palette","Include last-visited tabs in the palette rest state"
"708","1","none","auto","S","8","workspace-shell-core","Set document.title from the active tab label"
"709","1","none","auto","S","8","workspace-shell-core","Idle-warm Jobs and Job intake chunks with the hiring set"
"155","1","none","auto","S","7","skill-profile-public-page","Format the credential issued date in the reader's locale"
"22","1","none","auto","M","8","llm-api","Filter /api/llm/activity by useCase, outcome and cursor"
"134","1","none","auto","M","8","conversational-apply-flow","Show a short role summary before the chat starts"
"320","1","none","auto","M","8","devcase-workspace","Filter the cases ledger by stage, seniority, and title"
"354","1","none","auto","M","8","pipeline-actions-events","Localize Orchard overlay copy in all four catalogs"
"400","1","none","auto","M","8","schedule-calendar-invites","Render calendarStatus on the Schedule tab"
"494","1","none","auto","M","8","organization-and-branding","Preview brand on candidate offer, apply, and schedule chrome"
"683","1","none","auto","M","8","spark-about-illustrations","Gate about-art whileInView entrances on useStillMotion"
"542","1","policy-tighten","auto","S","8","review-gates","Treat test.skipIf as a skip marker so node:test cannot silently drop coverage"
"49","1","contract","auto","S","9","tests-llm-eval","Assert every pinnable use case is routed or exempted"
"46","1","contract","auto","S","8","tests-companion-voice","Lockstep voice TECH_TERMS against the skill taxonomy"
"50","1","contract","auto","S","8","tests-llm-eval","Scan map-driven resolve_provider sites for token ceilings"
"51","1","contract","auto","S","8","tests-llm-eval","Lockstep gateway schemas to measured JSON use cases"
"53","1","contract","auto","S","8","tests-llm-eval","Pin QUALITY_SCORES.models against DEFAULT_MODELS in Python tests"
"54","1","contract","auto","S","8","tests-pipeline-automation","Ratchet hand-rolled {status: 500} CLI envelopes"
"179","1","contract","auto","S","8","tests-matching-taxonomy","Pin matrix_cli cell provenance payload"
"663","1","contract","auto","S","8","shell-setup-pipeline","Pin occupancy-safe presets in setupPipelinePresets.test.ts"
"634","1","contract","auto","M","9","setup-studio","Add node:test coverage for protocol.ts parsers"
"18","2","none","auto","S","9","eval-harness","Add interview_eval --no-llm --strict to test:eval:ci"
"27","2","none","auto","S","9","llm-inference-runtime","Add provider and model to the reasoning cache key"
"59","2","none","auto","S","9","analytics-api","Count metric-pack capacity from owned roles, not the shared corpus"
"61","2","none","auto","S","9","analytics-api","Honour holdout source on GET /api/analytics/calibration/band"
"64","2","none","auto","S","9","analytics-calibration","Holdout score-band drilldown must not list pipeline candidates"
"69","2","none","auto","S","9","analytics-computation","Count kind=moved as hires in weekly momentum"
"74","2","none","auto","S","9","analytics-metrics","Warn on Apply when auto-reject is off"
"103","2","none","auto","S","9","billing-plan-and-spend","Show a dunning recovery banner with Update payment for past_due"
"187","2","none","auto","S","9","comms-locale-optout","Infer de/fr comms locale from CV languages, matching Python"
"248","2","none","auto","S","9","db-jobs-devcase-interviews","Prune completed interview transcripts after a stated retention window"
"286","2","none","auto","S","9","casesim-evaluator","Fail a round when the gamer persona keeps both canaries propagated"
"299","2","none","auto","S","9","devcase-evaluation","Add recruiter lookup by opaque submission reference"
"343","2","none","auto","S","9","hiring-decisions-offers","Project validated offer notes and startDate onto offerView"
"394","2","none","auto","S","9","interview-scheduling-api","Re-check free/busy on accept_proposal and reschedule"
"450","2","none","auto","S","9","jd-public-detail-page","List live /jds/[slug] URLs in sitemap.xml"
"469","2","none","auto","S","9","jobs-intake","Restate yearly stated pay onto a monthly salary_band in normalize_job"
"490","2","none","auto","S","9","org-workspace-management","Honor disabled status in org-wide capability grants"
"545","2","none","auto","S","9","security-agent-gates","Add polar_whs_ to SECRET_PATTERNS after replacing the webhook-verify fixture"
"546","2","none","auto","S","9","security-agent-gates","Protect the actions-pin allowlist from dispatched writes"
"591","2","none","auto","S","9","shared-api-utilities","Load latin-ext OG font subsets for cs/de/fr"
"592","2","none","auto","S","9","shared-api-utilities","Time-bound readTextWithLimit against slowloris"
"9","2","none","auto","S","8","companion-ai","Land the digest on a dedicated thread, not the newest conversation"
"14","2","none","auto","S","8","companion-appmaster","Honor turn.json session_id so episodes link to the kp thread"
"20","2","none","auto","S","8","eval-harness","Record salary_coverage on the golden set so the bar is not UNMEASURED"
"23","2","none","auto","S","8","llm-api","CAS-guard DELETE /api/llm/config the way PUT already is"
"26","2","none","auto","S","8","llm-config-provider","Map ollama/qwen/gateway pins through matrixSlug"
"28","2","none","auto","S","8","llm-inference-runtime","Give rankPoolForJob an explicit timeoutMs"
"35","2","none","auto","S","8","models-keys-and-routing","Mark inert routing rows the registry never calls"
"38","2","none","auto","S","8","models-keys-and-routing","Allow a keyless gateway save without a dummy API key"
"56","2","none","auto","S","8","tests-pipeline-automation","Pin analyze_cv engine_kind when the provider is unavailable"
"62","2","none","auto","S","8","analytics-api","Retire the calibration memo when apply-threshold writes"
"66","2","none","auto","S","8","analytics-calibration","Deep-link each calibration drift quarter to its cohort"
"67","2","none","auto","S","8","analytics-calibration","Refuse Apply on a high-leakage arm until holdout can judge"
"70","2","none","auto","S","8","analytics-computation","Pick the bottleneck by median wait, not mean"
"78","2","none","auto","S","8","market-data-pipeline","Tally unmapped CZ-ISCO codes instead of silent default family"
"79","2","none","auto","S","8","market-data-pipeline","Fail validateSnapshot when default-family share is too high"
"81","2","none","auto","S","8","ops-observability","Count all provider tokens in engineTelemetry, not just Gemini"
"88","2","none","auto","S","8","ats-api","Let POST /api/ats/test deliver one real candidate record, not only ping"
"94","2","none","auto","S","8","auth-session-rbac","Emit FORBIDDEN_CAPABILITY from org and workspace gates"
"96","2","none","auto","S","8","login-flow","Preserve ?plan= through the login success redirect"
"97","2","none","auto","S","8","invite-accept-flow","Fall back to /login when invite redeem did not set kp_entered"
"99","2","none","auto","S","8","billing-api","Encode plan vs pack on the checkout success URL"
"102","2","none","auto","S","8","billing-api","Code the public webhook refusals; stop forwarding error.message"
"111","2","none","auto","S","8","candidate-channels-ui","Adopt Channels section from a URL inbox like Analytics ?sec="
"112","2","none","auto","S","8","candidate-channels-ui","Read waiting count from /api/attention instead of /api/pipeline"
"113","2","none","auto","S","8","channels-comms-api","Distinguish pull URL validation 400 from store-write 500"
"119","2","none","auto","S","8","application-status-page","Link GDPR data-access and outreach-stop from the status page"
"122","2","none","auto","S","8","candidate-apply-api","Honor the apply honeypot on the conversational POST"
"123","2","none","auto","S","8","candidate-apply-api","Thread campaign/variant attribution through conversational apply"
"128","2","none","auto","S","8","candidate-apply-flow","Parse German and French year units in parseYearsExperience"
"129","2","none","auto","S","8","candidate-apply-flow","Extend rejection-feedback protected-attribute filters to de/fr"
"130","2","none","auto","S","8","candidate-apply-flow","Default apply languages from the request locale, not Czech+English"
"136","2","none","auto","S","8","quick-apply-flow","Persist the in-progress quick-apply form like the chat draft"
"141","2","none","auto","S","8","candidate-profile","Lock built-in fairness and scoring-model fields in the archetype editor"
"151","2","none","auto","S","8","saved-analysis-report","Turn the JD-stale badge into a re-analyze action"
"152","2","none","auto","S","8","saved-analysis-report","Show every live board position, not only the first on-board chip"
"156","2","none","auto","S","8","skill-profile-public-page","Name the work sample on the public skill credential"
"158","2","none","auto","S","8","tests-scoring-fairness","Pin Czech feminine multi-word titles to the same role family"
"160","2","none","auto","S","8","tests-scoring-fairness","Pin bilingual CZ/EN skill-label recall in the fairness eval"
"163","2","none","auto","S","8","candidate-matching","Score motivation with whole-token matching like personal"
"164","2","none","auto","S","8","candidate-matching","Author remaining Czech feminine taxonomy surfaces"
"165","2","none","auto","S","8","candidate-matching","Count seniority and work-mode as winnability loose-gates"
"168","2","none","auto","S","8","candidate-matching-api","Bound match_cli and matrix_cli spawns with an explicit timeout"
"170","2","none","auto","S","8","matrix-focus","Persist applied match weights across reloads"
"188","2","none","auto","S","8","comms-locale-optout","Add resumeOutreach so a recruiter manual halt is reversible"
"198","2","none","auto","S","8","analyze-engine","Thread AbortSignal through submitAnalysis so cancel aborts the upload"
"199","2","none","auto","S","8","analyze-engine","Admit a CV batch on the window-level drop like the CV zone"
"202","2","none","auto","S","8","analyze-workspace","Write ?tab=history when the Analyze segmented control switches"
"207","2","none","auto","S","8","cv-analysis-api","Return extract-text page and char counts so callers can warn on empty scans"
"213","2","none","auto","S","8","cv-extraction","Add Czech (and DE/FR) authenticity buzzword lists"
"214","2","none","auto","S","8","cv-extraction","Detect remaining Czech ANSI without Ĺ /Ĺ˝ via a charset probe"
"221","2","none","auto","S","8","results-detail-tabs","Drive MissingSkillsTiers from requirement kind, not list position"
"223","2","none","auto","S","8","results-detail-tabs","Pass prepEntryId through after live Add-to-pipeline"
"228","2","none","auto","S","8","score-metric-display","Require Meter aria-label at the type so unlabeled bars fail the gate"
"232","2","none","auto","S","8","screening-fairness","Edit holdoutPercent on DecisionRulesModal"
"233","2","none","auto","S","8","screening-fairness","Show holdout spared-count and later outcomes on the wave preview"
"241","2","none","auto","S","8","db-analytics-billing-llm","Blank llm_usage.request_id after 90 days like billing event payloads"
"244","2","none","auto","S","8","db-core-migrations","Run incremental VACUUM from runBootMaintenance when freelist is high"
"247","2","none","auto","S","8","db-jobs-devcase-interviews","Stamp a source-body hash on job_translations so stale ads are detectable"
"249","2","none","auto","S","8","db-jobs-devcase-interviews","Clear role_intakes.transcript_json when an intake is promoted"
"252","2","none","auto","S","8","db-org-users-channels","Prune companion_turns past the dock's COMPANION_THREAD_TURNS window"
"254","2","none","auto","S","8","db-pipeline-store","Project listPipeline through a lite column set like TASK_LITE_COLUMNS"
"255","2","none","auto","S","8","db-pipeline-store","Persist a holdout flag on pipeline_entries for the calibration clean arm"
"256","2","none","auto","S","8","db-pipeline-store","Emit a dwell-breach pipeline event when daysInStage exceeds the TTH target"
"257","2","none","auto","S","8","db-pipeline-store","Give setEntryNotes an expectedUpdatedAt CAS like updateProfile"
"260","2","none","auto","S","8","db-profiles-analyses-store","Give issued skill profiles an expires_at the public verify path honours"
"262","2","none","auto","S","8","db-tasks-agents-misc","Bound getAgentAggregates instead of SELECT * into memory"
"266","2","none","auto","S","8","db-tasks-agents-misc","Prune entry-less ko_declined events after a stated retention window"
"267","2","none","auto","S","8","brand-theme-tokens","Follow prefers-color-scheme live when no explicit choice is stored"
"269","2","none","auto","S","8","feedback-status-primitives","Add toast.promise() for in-flight mutations"
"272","2","none","auto","S","8","form-controls","Auto-grow TextArea to its content"
"273","2","none","auto","S","8","form-controls","Add a link control to RichTextEditor"
"292","2","none","auto","S","8","devcase-core","Neutralize the engineering-locked case-designer system prompt"
"298","2","none","auto","S","8","devcase-eval","Limit sim attach to assignment candidates, not the whole board"
"304","2","none","auto","S","8","devcase-lifecycle-api","Do not send close wrap-ups to a candidateRef that is not an address"
"305","2","none","auto","S","8","devcase-lifecycle-api","Add GET /api/devcase/feedback for queued assignment letters"
"306","2","none","auto","S","8","devcase-lifecycle-api","Refuse inbound applications that have no sendable contact"
"307","2","none","auto","S","8","devcase-live-work-surface","Let the candidate add and delete files on the seed tree"
"308","2","none","auto","S","8","devcase-live-work-surface","Flush the live-work tree on pagehide so a closed tab keeps work"
"311","2","none","auto","S","8","devcase-orchestration","Audit stalled collecting in runLifecycle, not only on a mounted row"
"315","2","none","auto","S","8","devcase-outbox","Page the assignment outbox past the newest 50 rows"
"317","2","none","auto","S","8","devcase-session-api","Return the chat transcript on the live-work flush"
"322","2","none","auto","S","8","devcase-workspace","Prefill Define-need from a JD query param on the Assignments tab"
"324","2","none","auto","S","8","github-repo-intelligence","Analyze language mix beyond the first 20 owned repos"
"335","2","none","auto","S","8","control-room-action-guard","Export a useArmConfirm hook so ledger reject can reuse the reducer"
"345","2","none","auto","S","8","offer-response-page","Two-step confirm accept the way decline is confirmed"
"351","2","none","auto","S","8","pipeline-actions-commands","Resolve reminder eligibility by terminal role, not Hired"
"353","2","none","auto","S","8","pipeline-actions-commands","Redact adverse-action detail on public pipeline events"
"360","2","none","auto","S","8","pipeline-api","Put entryId on GET /api/pipeline/events/recent"
"371","2","none","auto","S","8","pipeline-candidate-drawer","Show the CV salary expectation on the Scorecard"
"385","2","none","auto","S","8","task-automation-engine","Treat canonical-null as unscored in the scoring sweep"
"386","2","none","auto","S","8","task-automation-engine","Disclose leftover SIM residue after resetSim"
"388","2","none","auto","S","8","calendar-scheduling","Add retryCalendarEvent for failed and orphaned writes"
"397","2","none","auto","S","8","interview-scheduling-api","Add retry_calendar action to POST /api/schedule"
"407","2","none","auto","S","8","schedule-interview-prep","Flag scorecard axes the run-of-show never feeds"
"410","2","none","auto","S","8","interview-execution-scoring","Bias interview ASR keywords with the candidate's CV-extracted skills"
"414","2","none","auto","S","8","interview-planning-rubric","Clamp case-grounded planned minutes to the grounded provider band"
"417","2","none","auto","S","8","interview-tools-api","Flag human scorecard ratings that cite no evidence, like off-rubric axes"
"418","2","none","auto","S","8","interview-tools-api","Refuse a weave whose blockRef is not a chronology topic"
"420","2","none","auto","S","8","jd-build-templates","Give validateJdBuildInput refusal codes the generate route can return"
"433","2","none","auto","S","8","jd-intake-studio","Default the studio desk to one zone on narrow viewports"
"434","2","none","auto","S","8","jd-intake-studio","Hint the palette New-intake command on an empty ledger"
"436","2","none","auto","S","8","jd-intake-voice","Arm a connect timeout on intake voice-connect"
"438","2","none","auto","S","8","jd-intake-voice","Let the requestor cancel a hung connecting phase"
